mp_id,formula,polymorph,family,tier,v_lit,v_pred,signed_err,abs_err,v_mp,pred_minus_mp,mp_minus_lit,pred_minus_lit,repro_prior_pred,repro_delta,nsites,reason
mp-19226,NaFePO4,maricite (Pnma; lit Pmnb setting),polyanionic_phosphate,C,2.6,3.4477,0.8477,0.8477,,,,,,,28,
mp-1203835,Na4Fe3(PO4)2(P2O7),NFPP orthorhombic Pn21a (=Pna21),polyanionic_phosphate,A,3.2,3.7514,0.5514,0.5514,,,,,,,104,
mp-562796,NaCoPO4,ABW-type zeolitic P21/n (Co tetrahedral),polyanionic_phosphate,A,4.5,3.7158,-0.7842,0.7842,3.961,-0.2452,-0.539,-0.7842,3.727,-0.0112,28,
mp-683773,NaCoPO4,beta P65 hexagonal 'blue' (Co tetrahedral),polyanionic_phosphate,A,4.3,3.866,-0.434,0.434,3.7625,0.1035,-0.5375,-0.434,3.9209,-0.0549,168,
mp-1194940,Na2FePO4F,layered orthorhombic Pbcn,polyanionic_fluorophosphate,B,2.985,4.2914,1.3064,1.3064,,,,,,,72,
mp-694937,Na3V2(PO4)2F3,NVPF pseudo-tetragonal (MP Pnnm a~b; lit Amam/P42/mnm),polyanionic_fluorophosphate,B,3.95,3.8579,-0.0921,0.0921,,,,,,,72,
mp-578604,NaCrO2,O3 layered alpha R-3m,layered_oxide,B,3.2,4.0409,0.8409,0.8409,,,,,,,4,
