mp_id,formula,family,v_pred,v_ref,signed_err,bias_used_for_correction,v_pred_corrected,residual_signed_error,in_heldout_set
mp-772153,Na2-3CuAsCO7,other,4.2881,3.3145,0.9736,0.209653,4.078447,0.763947,True
mp-1176351,Na0-3Li3Fe2P2(CO7)2,other,3.5314,3.2981,0.2333,0.209653,3.321747,0.023647,True
mp-764111,Na0-1Fe(PO3)3,polyanionic_phosphate,4.4097,3.2737,1.136,0.547702,3.861998,0.588298,True
mp-1114229,Na0-2LiVF6,other,3.6527,3.2145,0.4382,0.209653,3.443047,0.228547,True
mp-778594,Na0-0.67V2O5,layered_oxide,3.7914,3.2116,0.5798,,,,False
mp-560778,Na0-1.29V2O5,layered_oxide,3.4644,3.2114,0.253,,,,False
mp-18435,Na0-1MoP2O7,polyanionic_phosphate,3.6549,3.1852,0.4697,0.547702,3.107198,-0.078002,True
mp-772101,Na2-3MnSiCO7,other,4.8417,3.1708,1.6709,0.209653,4.632047,1.461247,True
mp-771039,Na0-1Li2MnPCO7,other,3.4286,3.1675,0.2611,0.209653,3.218947,0.051447,True
mp-769529,Na2-2.5MnPCO7,other,4.4801,3.1657,1.3144,0.209653,4.270447,1.104747,True
mp-558048,Na0-1V(GeO3)2,layered_oxide,3.8166,3.1568,0.6598,,,,False
mp-769536,Na2-2.5MnPCO7,other,4.474,3.1556,1.3184,0.209653,4.264347,1.108747,True
mp-989514,Na0-1Cs2SbCl6,other,2.2974,3.1357,-0.8383,0.209653,2.087747,-1.047953,True
mp-1176765,Na2-2.5MnPCO7,other,4.408,3.0996,1.3084,0.209653,4.198347,1.098747,True
mp-773725,Na0-1Li5Mn2P2(CO7)2,other,3.1343,3.0883,0.046,0.209653,2.924647,-0.163653,True
mp-1110567,Na1-3MoF6,other,4.7928,3.0626,1.7302,0.209653,4.583147,1.520547,True
mp-554302,Na0-1Cs2MnF6,other,3.5638,3.0406,0.5232,0.209653,3.354147,0.313547,True
mp-1101478,Na0-1Li5Fe2P2(CO7)2,other,3.187,3.029,0.158,0.209653,2.977347,-0.051653,True
mp-541674,Na0-1Mo2(PO4)3,NASICON,3.5923,3.0089,0.5834,,,,False
mp-867515,Na0-1CoO2,layered_oxide,3.9686,3.0088,0.9598,,,,False
